valor1,valor2,operador,resultado
321,665,+,986
876,598,+,1474
298,120,+,418
171,358,+,529
325,766,+,1091
463,419,+,882
472,259,+,731
879,784,+,1663
135,601,+,736
164,37,+,201
404,8,+,412
965,749,+,1714
682,206,+,888
902,671,+,1573
452,16,+,468
864,634,+,1498
793,842,+,1635
344,891,+,1235
23,669,+,692
484,438,+,922
110,810,+,920
30,851,+,881
426,953,+,1379
25,756,+,781
904,302,+,1206
103,551,+,654
119,530,+,649
884,185,+,1069
190,538,+,728
417,495,+,912
280,564,+,844
589,964,+,1553
75,230,+,305
276,894,+,1170
585,757,+,1342
405,361,+,766
800,573,+,1373
585,981,+,1566
823,723,+,1546
903,910,+,1813
55,336,+,391
325,610,+,935
562,811,+,1373
110,110,+,220
866,497,+,1363
136,908,+,1044
311,208,+,519
865,916,+,1781
129,327,+,456
970,521,+,1491
821,937,+,1758
290,303,+,593
742,590,+,1332
334,659,+,993
225,310,+,535
273,87,+,360
60,625,+,685
834,735,+,1569
154,535,+,689
262,327,+,589
585,115,+,700
43,903,+,946
465,398,+,863
692,243,+,935
203,700,+,903
319,92,+,411
889,896,+,1785
494,287,+,781
359,918,+,1277
283,19,+,302
591,808,+,1399
284,469,+,753
373,601,+,974
324,272,+,596
737,896,+,1633
907,144,+,1051
231,882,+,1113
268,855,+,1123
202,494,+,696
293,186,+,479
585,408,+,993
733,463,+,1196
948,994,+,1942
430,580,+,1010
555,476,+,1031
7,114,+,121
650,45,+,695
415,469,+,884
379,361,+,740
501,813,+,1314
983,955,+,1938
581,50,+,631
573,215,+,788
73,277,+,350
171,298,+,469
794,366,+,1160
750,757,+,1507
250,291,+,541
580,46,+,626
686,192,+,878
624,752,+,1376
142,984,+,1126
113,223,+,336
498,948,+,1446
616,611,+,1227
730,192,+,922
669,133,+,802
907,436,+,1343
803,8,+,811
568,537,+,1105
827,89,+,916
486,12,+,498
719,390,+,1109
567,74,+,641
883,751,+,1634
462,529,+,991
416,447,+,863
126,757,+,883
243,422,+,665
41,413,+,454
51,882,+,933
992,352,+,1344
587,703,+,1290
635,995,+,1630
667,851,+,1518
617,948,+,1565
604,488,+,1092
139,779,+,918
555,141,+,696
886,203,+,1089
635,249,+,884
603,845,+,1448
118,733,+,851
750,486,+,1236
383,722,+,1105
146,768,+,914
572,147,+,719
573,246,+,819
637,431,+,1068
636,282,+,918
113,593,+,706
155,787,+,942
928,542,+,1470
334,978,+,1312
791,184,+,975
841,422,+,1263
205,743,+,948
143,636,+,779
889,398,+,1287
998,961,+,1959
606,467,+,1073
12,413,+,425
533,942,+,1475
769,351,+,1120
530,993,+,1523
322,800,+,1122
187,552,+,739
725,589,+,1314
322,661,+,983
942,763,+,1705
313,835,+,1148
896,193,+,1089
730,854,+,1584
733,89,+,822
911,982,+,1893
414,111,+,525
436,78,+,514
675,151,+,826
935,437,+,1372
167,925,+,1092
109,941,+,1050
886,409,+,1295
511,170,+,681
171,198,+,369
132,418,+,550
279,390,+,669
863,561,+,1424
218,855,+,1073
235,711,+,946
202,205,+,407
121,178,+,299
61,128,+,189
409,315,+,724
109,576,+,685
542,900,+,1442
265,968,+,1233
58,745,+,803
118,407,+,525
174,264,+,438
984,718,+,1702
640,477,+,1117
188,648,+,836
243,16,+,259
319,823,+,1142
687,969,+,1656
499,737,+,1236
574,380,+,954
638,985,+,1623
976,570,+,1546
236,273,+,509
141,970,+,1111
483,281,+,764
29,915,+,944
471,483,+,954
806,584,+,1390
293,841,+,1134
896,954,+,1850
472,892,+,1364
812,72,+,884
980,358,+,1338
83,7,+,90
315,149,+,464
148,669,+,817
881,6,+,887
779,436,+,1215
563,712,+,1275
506,451,+,957
818,292,+,1110
547,198,+,745
125,108,+,233
54,391,+,445
352,576,+,928
600,620,+,1220
151,338,+,489
286,556,+,842
362,664,+,1026
654,61,+,715
797,292,+,1089
731,236,+,967
783,845,+,1628
196,240,+,436
821,387,+,1208
580,884,+,1464
365,701,+,1066
69,139,+,208
606,220,+,826
281,347,+,628
723,153,+,876
567,932,+,1499
839,82,+,921
577,448,+,1025
286,417,+,703
785,778,+,1563
442,634,+,1076
888,153,+,1041
166,938,+,1104
156,905,+,1061
472,407,+,879
28,466,+,494
145,302,+,447
72,146,+,218
975,412,+,1387
58,845,+,903
17,936,+,953
551,470,+,1021
556,56,+,612
650,597,+,1247
274,221,+,495
924,621,+,1545
861,297,+,1158
992,812,+,1804
218,851,+,1069
577,763,+,1340
42,654,+,696
303,284,+,587
189,884,+,1073
97,945,+,1042
522,51,+,573
218,808,+,1026
250,463,+,713
590,956,+,1546
256,427,+,683
551,418,+,969
580,672,+,1252
575,258,+,833
264,645,+,909
360,723,+,1083
544,40,+,584
598,526,+,1124
851,798,+,1649
467,541,+,1008
91,393,+,484
660,675,+,1335
339,859,+,1198
997,656,+,1653
315,4,+,319
794,90,+,884
448,75,+,523
284,84,+,368
400,673,+,1073
314,266,+,580
868,85,+,953
157,916,+,1073
787,593,+,1380
741,764,+,1505
969,908,+,1877
416,614,+,1030
714,296,+,1010
551,54,+,605
470,71,+,541
264,168,+,432
748,655,+,1403
125,644,+,769
452,900,+,1352
339,718,+,1057
791,670,+,1461
915,188,+,1103
879,331,+,1210
455,528,+,983
680,658,+,1338
558,967,+,1525
713,863,+,1576
306,275,+,581
690,2,+,692
449,932,+,1381
434,159,+,593
215,130,+,345
949,909,+,1858
343,169,+,512
225,988,+,1213
705,266,+,971
450,30,+,480
17,653,+,670
70,363,+,433
385,24,+,409
818,769,+,1587
245,786,+,1031
68,136,+,204
17,169,+,186
519,748,+,1267
4,664,+,668
541,71,+,612
246,294,+,540
775,889,+,1664
657,952,+,1609
15,955,+,970
843,673,+,1516
591,774,+,1365
624,695,+,1319
88,403,+,491
411,178,+,589
287,980,+,1267
622,484,+,1106
878,272,+,1150
595,847,+,1442
262,615,+,877
346,336,+,682
23,118,+,141
814,147,+,961
76,705,+,781
376,989,+,1365
488,172,+,660
415,272,+,687
77,618,+,695
287,475,+,762
316,394,+,710
106,344,+,450
207,633,+,840
949,946,+,1895
52,950,+,1002
561,936,+,1497
526,369,+,895
857,144,+,1001
372,920,+,1292
454,779,+,1233
534,447,+,981
70,505,+,575
288,804,+,1092
869,367,+,1236
168,859,+,1027
785,289,+,1074
371,962,+,1333
722,936,+,1658
736,11,+,747
124,899,+,1023
407,357,+,764
157,717,+,874
371,830,+,1201
760,491,+,1251
635,164,+,799
980,715,+,1695
427,91,+,518
14,640,+,654
700,462,+,1162
37,182,+,219
122,25,+,147
891,492,+,1383
477,324,+,801
137,614,+,751
189,615,+,804
743,770,+,1513
805,726,+,1531
218,789,+,1007
754,228,+,982
35,628,+,663
992,823,+,1815
679,146,+,825
880,276,+,1156
471,552,+,1023
353,452,+,805
906,672,+,1578
129,43,+,172
137,759,+,896
478,93,+,571
646,650,+,1296
349,491,+,840
868,774,+,1642
925,859,+,1784
188,429,+,617
206,750,+,956
696,466,+,1162
730,621,+,1351
118,409,+,527
285,628,+,913
11,523,+,534
169,620,+,789
101,149,+,250
235,510,+,745
386,677,+,1063
507,359,+,866
269,468,+,737
709,834,+,1543
442,174,+,616
121,531,+,652
484,637,+,1121
985,219,+,1204
262,326,+,588
603,903,+,1506
895,358,+,1253
719,744,+,1463
767,290,+,1057
286,380,+,666
889,946,+,1835
420,481,+,901
114,766,+,880
655,560,+,1215
767,622,+,1389
472,211,+,683
793,674,+,1467
975,137,+,1112
216,818,+,1034
98,507,+,605
90,646,+,736
641,105,+,746
73,857,+,930
511,639,+,1150
214,785,+,999
866,948,+,1814
148,139,+,287
938,370,+,1308
983,83,+,1066
619,143,+,762
353,465,+,818
729,302,+,1031
916,733,+,1649
932,419,+,1351
451,76,+,527
298,934,+,1232
358,414,+,772
133,724,+,857
789,55,+,844
493,169,+,662
362,466,+,828
401,400,+,801
40,430,+,470
18,657,+,675
145,354,+,499
702,246,+,948
30,866,+,896
709,417,+,1126
237,374,+,611
332,659,+,991
313,656,+,969
991,71,+,1062
239,11,+,250
377,75,+,452
584,190,+,774
852,494,+,1346
660,300,+,960
408,178,+,586
945,864,+,1809
604,51,+,655
562,232,+,794
140,661,+,801
515,529,+,1044
918,733,+,1651
546,940,+,1486
758,907,+,1665
364,968,+,1332
228,63,+,291
179,545,+,724
550,974,+,1524
892,522,+,1414
860,596,+,1456
842,235,+,1077
848,73,+,921
880,883,+,1763
867,976,+,1843
700,855,+,1555
43,89,+,132
250,421,+,671
842,274,+,1116
925,128,+,1053
701,496,+,1197
265,591,+,856
986,320,+,1306
773,478,+,1251
